Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2852,2625,227,4932,249,1967,58,112,0.920407,0.9160200000000001,0.39882399999999996,0.918208,,,1.46918123275069,1.9407814407814408
INDEL,PASS,2852,2607,245,4731,223,1810,47,103,0.9140950000000001,0.9236559999999999,0.382583,0.918851,,,1.46918123275069,1.9948152948801037
SNP,ALL,16898,16287,611,20582,1880,2415,146,98,0.963842,0.896516,0.117336,0.928961,2.3423655063291138,2.324127906976744,1.924874502336853,2.164052890528905
SNP,PASS,16898,16287,611,20567,1880,2400,146,98,0.963842,0.896516,0.116692,0.928961,2.3423655063291138,2.3276168904707975,1.924874502336853,2.164666051092644
