Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I6_15,*,ALL,*,QUAL,*,0.864,0.923077,0.551724,0.8925620000000001,2,6,41689983,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,108,.,.,51.000000,30.000000,,1.7,17,.,.,10.000000,2.000000,,5.0,261,.,.,143.000000,66.000000,,2.1666666666666665,108,.,.,60.000000,31.000000,,1.935483870967742,9,.,.,3.000000,3.000000,,1.0,144,.,.,80.000000,32.000000,,2.5
INDEL,I6_15,*,PASS,*,QUAL,*,0.856,0.946903,0.54251,0.8991600000000001,0,5,41689983,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,107,.,.,50.000000,30.000000,,1.6666666666666667,18,.,.,11.000000,2.000000,,5.5,247,.,.,139.000000,58.000000,,2.396551724137931,107,.,.,59.000000,31.000000,,1.903225806451613,6,.,.,3.000000,0.000000,,,134,.,.,77.000000,27.000000,,2.8518518518518516
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,2.000000,0.000000,,
INDEL,I6_15,TS_boundary,PASS,*,QUAL,*,0.0,,1.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,2.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3,.,.,2.000000,0.000000,,
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.864,0.923077,0.0,0.8925620000000001,2,6,11191358.000000,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,108,.,.,51.000000,30.000000,,1.7,17,.,.,10.000000,2.000000,,5.0,117,.,.,63.000000,34.000000,,1.8529411764705883,108,.,.,60.000000,31.000000,,1.935483870967742,9,.,.,3.000000,3.000000,,1.0,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.856,0.946903,0.0,0.8991600000000001,0,5,11191358.000000,11191358.000000,0.000000,125,.,.,61.000000,32.000000,,1.90625,107,.,.,50.000000,30.000000,,1.6666666666666667,18,.,.,11.000000,2.000000,,5.5,113,.,.,62.000000,31.000000,,2.0,107,.,.,59.000000,31.000000,,1.903225806451613,6,.,.,3.000000,0.000000,,,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.963842,0.896516,0.117336,0.928961,146,98,41689983,11191358.000000,0.000000,16898,11843.000000,5056.000000,11120.000000,5777.000000,2.3423655063291138,1.924874502336853,16287,11408.000000,4880.000000,10577.000000,5709.000000,2.3377049180327867,1.8526887370818006,611,435.000000,176.000000,543.000000,68.000000,2.471590909090909,7.985294117647059,20582,14391.000000,6192.000000,14075.000000,6504.000000,2.324127906976744,2.164052890528905,16287,11405.000000,4883.000000,10577.000000,5709.000000,2.3356543108744625,1.8526887370818006,1880,1362.000000,518.000000,1744.000000,135.000000,2.629343629343629,12.91851851851852,2415,1624.000000,791.000000,1754.000000,660.000000,2.0530973451327434,2.6575757575757577
SNP,*,*,PASS,*,QUAL,*,0.963842,0.896516,0.116692,0.928961,146,98,41689983,11191358.000000,0.000000,16898,11843.000000,5056.000000,11120.000000,5777.000000,2.3423655063291138,1.924874502336853,16287,11408.000000,4880.000000,10577.000000,5709.000000,2.3377049180327867,1.8526887370818006,611,435.000000,176.000000,543.000000,68.000000,2.471590909090909,7.985294117647059,20567,14387.000000,6181.000000,14066.000000,6498.000000,2.3276168904707975,2.164666051092644,16287,11405.000000,4883.000000,10577.000000,5709.000000,2.3356543108744625,1.8526887370818006,1880,1362.000000,518.000000,1744.000000,135.000000,2.629343629343629,12.91851851851852,2400,1620.000000,780.000000,1745.000000,654.000000,2.076923076923077,2.668195718654434
SNP,*,TS_boundary,ALL,*,QUAL,*,0.9186049999999999,0.626984,0.5,0.745283,2,10,41689983.000000,11191358.000000,0.000000,86,60.000000,26.000000,48.000000,38.000000,2.3076923076923075,1.263157894736842,79,56.000000,23.000000,41.000000,38.000000,2.4347826086956523,1.0789473684210527,7,4.000000,3.000000,7.000000,0.000000,1.3333333333333333,,252,179.000000,73.000000,173.000000,79.000000,2.452054794520548,2.189873417721519,79,56.000000,23.000000,41.000000,38.000000,2.4347826086956523,1.0789473684210527,47,40.000000,7.000000,45.000000,2.000000,5.714285714285714,22.5,126,83.000000,43.000000,87.000000,39.000000,1.930232558139535,2.230769230769231
SNP,*,TS_boundary,PASS,*,QUAL,*,0.9186049999999999,0.626984,0.5,0.745283,2,10,41689983.000000,11191358.000000,0.000000,86,60.000000,26.000000,48.000000,38.000000,2.3076923076923075,1.263157894736842,79,56.000000,23.000000,41.000000,38.000000,2.4347826086956523,1.0789473684210527,7,4.000000,3.000000,7.000000,0.000000,1.3333333333333333,,252,179.000000,73.000000,173.000000,79.000000,2.452054794520548,2.189873417721519,79,56.000000,23.000000,41.000000,38.000000,2.4347826086956523,1.0789473684210527,47,40.000000,7.000000,45.000000,2.000000,5.714285714285714,22.5,126,83.000000,43.000000,87.000000,39.000000,1.930232558139535,2.230769230769231
SNP,*,TS_contained,ALL,*,QUAL,*,0.964073,0.8983979999999999,0.0,0.9300780000000001,144,88,11191358.000000,11191358.000000,0.000000,16812,11783.000000,5030.000000,11072.000000,5739.000000,2.342544731610338,1.9292559679386654,16208,11352.000000,4857.000000,10536.000000,5671.000000,2.3372452130945027,1.8578733909363427,604,431.000000,173.000000,536.000000,68.000000,2.491329479768786,7.882352941176471,18041,12671.000000,5371.000000,12235.000000,5804.000000,2.3591509960901136,2.1080289455547896,16208,11349.000000,4860.000000,10536.000000,5671.000000,2.335185185185185,1.8578733909363427,1833,1322.000000,511.000000,1699.000000,133.000000,2.5870841487279845,12.774436090225564,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.964073,0.8983979999999999,0.0,0.9300780000000001,144,88,11191358.000000,11191358.000000,0.000000,16812,11783.000000,5030.000000,11072.000000,5739.000000,2.342544731610338,1.9292559679386654,16208,11352.000000,4857.000000,10536.000000,5671.000000,2.3372452130945027,1.8578733909363427,604,431.000000,173.000000,536.000000,68.000000,2.491329479768786,7.882352941176471,18041,12671.000000,5371.000000,12235.000000,5804.000000,2.3591509960901136,2.1080289455547896,16208,11349.000000,4860.000000,10536.000000,5671.000000,2.335185185185185,1.8578733909363427,1833,1322.000000,511.000000,1699.000000,133.000000,2.5870841487279845,12.774436090225564,0,0.000000,0.000000,0.000000,0.000000,,
