Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2852,2328,524,3573,190,1010,51,83,0.8162689999999999,0.925868,0.28267600000000004,0.8676209999999999,,,1.46918123275069,1.2326169405815424
INDEL,PASS,2852,2328,524,3573,190,1010,51,83,0.8162689999999999,0.925868,0.28267600000000004,0.8676209999999999,,,1.46918123275069,1.2326169405815424
SNP,ALL,16898,16042,856,17604,199,1362,108,10,0.949343,0.987748,0.07736900000000001,0.9681649999999999,2.3423655063291138,2.268052719509931,1.924874502336853,1.7623979912115506
SNP,PASS,16898,16042,856,17604,199,1362,108,10,0.949343,0.987748,0.07736900000000001,0.9681649999999999,2.3423655063291138,2.268052719509931,1.924874502336853,1.7623979912115506
