Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2852,2573,279,4299,200,1446,37,66,0.902174,0.929898,0.336357,0.915826,,,1.46918123275069,1.6026977314530964
INDEL,PASS,2852,2573,279,4299,200,1446,37,66,0.902174,0.929898,0.336357,0.915826,,,1.46918123275069,1.6026977314530964
SNP,ALL,16898,16313,585,19206,1153,1737,82,20,0.9653809999999999,0.933997,0.09043999999999999,0.9494299999999999,2.3423655063291138,2.1726131483316817,1.924874502336853,1.9753641152773473
SNP,PASS,16898,16313,585,19206,1153,1737,82,20,0.9653809999999999,0.933997,0.09043999999999999,0.9494299999999999,2.3423655063291138,2.1726131483316817,1.924874502336853,1.9753641152773473
