Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,84,0,84,0,0,0,0,0,0.0,0.0,0.0,,,,0.2833333333333333,
INDEL,PASS,84,0,84,0,0,0,0,0,0.0,0.0,0.0,,,,0.2833333333333333,
SNP,ALL,553,160,393,555,395,0,389,3,0.289331,0.288288,0.0,0.28880900000000004,2.2151162790697674,2.1714285714285713,0.4107142857142857,
SNP,PASS,553,160,393,555,395,0,389,3,0.289331,0.288288,0.0,0.28880900000000004,2.2151162790697674,2.1714285714285713,0.4107142857142857,
