Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,2852,0,2852,0,0,0,0,0,0.0,0.0,0.0,,,,1.46918123275069,
INDEL,PASS,2852,0,2852,0,0,0,0,0,0.0,0.0,0.0,,,,1.46918123275069,
SNP,ALL,16898,15748,1150,16094,346,0,172,29,0.931945,0.9785010000000001,0.0,0.954656,2.3423655063291138,2.3101604278074865,1.924874502336853,1.7777010700724887
SNP,PASS,16898,15748,1150,16094,346,0,172,29,0.931945,0.9785010000000001,0.0,0.954656,2.3423655063291138,2.3101604278074865,1.924874502336853,1.7777010700724887
