model,split,dF1,dF1_lo,dF1_hi,dPrecision,dP_lo,dP_hi,dRecall,dR_lo,dR_hi,dFP,dFP_lo,dFP_hi,dFN,dFN_lo,dFN_hi,significant_F1
B,full,0.0013842073577237102,0.0010272910602910801,0.0017819261023277245,0.002803390718387977,0.002126835752484399,0.0035455038304551437,-8.411254258189338e-05,-0.0001850579169021399,-1.345913220212047e-05,-211,-272.0,-159.0,6,1.0,13.0,True
C+D,dev,0.016035879063917458,0.012301058153608279,0.020220804360789327,0.032437616865148566,0.025002870771993396,0.040848261345844496,-0.0003484974398841878,-0.000703205349499078,2.6317538554446226e-05,-1233,-1554.0,-913.9749999999999,13,-1.0,26.0,True
C+D,holdout,0.016160006247145753,0.010908521959632354,0.022379276407705557,0.03242147721008137,0.02201457929246997,0.044661130429140466,-0.00023508668821625722,-0.0005571962409956416,2.9142624968248048e-05,-1133,-1604.025,-760.9749999999999,8,-1.0,18.0,True
C+D,full,0.01609517180637876,0.0128430014228263,0.019683473401521327,0.032429877468650004,0.02594269836614258,0.039557734088339104,-0.00029439389903684887,-0.0005246754184761837,-6.184840934943534e-05,-2366,-2923.075,-1864.9249999999997,21,4.0,38.0,True
C,dev,0.01534782818418634,0.01157437908542984,0.019634032337781795,0.03278761805046149,0.025198504467344895,0.04126050611099833,-0.002037369648553722,-0.002813040491317148,-0.001329438104608979,-1246,-1576.0,-922.9749999999999,76,48.0,107.0,True
C,holdout,0.01631171046150548,0.01110611291630148,0.02247503773531408,0.033513920152117405,0.023021630723137534,0.04583077950306435,-0.0009991184249191765,-0.001571462526386258,-0.0005071468884445012,-1170,-1639.025,-798.9749999999999,34,17.0,53.0,True
C,full,0.015808215861738306,0.012564303095151285,0.019446919479047996,0.033134807017968226,0.026583598478819796,0.040371543452827445,-0.0015420632806695256,-0.0020603616373709027,-0.0010672454208196735,-2416,-2980.05,-1915.9499999999998,110,75.0,147.0,True
D,dev,0.003412832100239571,0.0017194829434825838,0.00535691758807873,0.012248447061437462,0.00926331245471107,0.015430812196157433,-0.005549151542771358,-0.0073886186305989615,-0.003906736689231263,-480,-619.0,-341.9749999999999,207,132.0,295.0,True
D,holdout,0.003769269352727256,0.001622677970459141,0.006259629282625358,0.012239674871968753,0.008326572694892115,0.01724834045086735,-0.004907434616514883,-0.006377166310612558,-0.0034294721340409917,-441,-652.025,-294.9749999999999,167,101.0,240.0,True
D,full,0.0035830389966374776,0.0021984395475390744,0.005083281031051159,0.012243760642565271,0.009764140857852202,0.015079110582041064,-0.005243015154276387,-0.006476988684118573,-0.004088283843659068,-921,-1170.025,-712.0,374,272.0,488.0250000000001,True
