model,nfeat,thr,dev_TP,dev_FP,dev_FN,dev_F1,hold_TP,hold_FP,hold_FN,hold_F1
A+C (no context),32,0.62,36573,84,730,0.98899,33410,122,620,0.98902
+D1 (±2bp: nc2),33,0.58,36576,89,727,0.98897,33412,128,618,0.98896
"+D2 (±5bp: nc2,nc5)",34,0.67,36557,72,746,0.98894,33406,119,624,0.989
"+D3 (±10bp: nc2,nc5,nc10)",35,0.61,36565,81,738,0.98892,33410,124,620,0.98899
"+D4 (±25bp: nc2..nc25,nearest)",37,0.64,36559,78,744,0.98888,33409,119,621,0.98905
"+D-other (lmr25,lgap10,depth_ratio25,neigh_max_vaf25)",36,0.53,36577,93,726,0.98893,33414,134,616,0.9889
"+D-ref (hp_len,slippage,dinuc,ts,CpG)",39,0.49,36591,100,712,0.98903,33416,139,614,0.98886
+D all,48,0.5,36583,96,720,0.98897,33419,139,611,0.9889
